OBJECTID,Lat,Long,Alt_ft,Tree_ID,Zone,Group_,Leaf_Fall,Common_Name,Genus,Species_Name,Family,Origin,Age_Class,CBH,DBH,Tree_Height_ft,Canopy_Radius_ft,Root_Zone_Infringement,Condition_Class,Priority,Intrest_Houses,Trust_Prop,Trust_Prop_Address,Champion_Tree,Memorial_Tree,Blue_Mtn_Native,Pacific_Slope_Native,Staked,Comments
2,46.07273,-118.33056,994,A2,A,Broadleaf,Deciduous,Eastern Redbud,Cercis,Cercis canadensis,Fabaceae,,30-40,53,16.88,27,15,0.25,Fair,A,,,,,,,,,
3,46.07238,-118.33083,968,A3,A,Broadleaf,Deciduous,Yellowwood,Cladastris,Cladrastis lutea,Fabaceae,south eastern U.S.,20,28,8.92,20,5,0.5,Fair,A,,,,,,,,,
5,46.07157,-118.3315,970,A5,A,Broadleaf,Deciduous,Norway Maple,Acer,Acer platanoides,Sapindaceae,"Europe, W. Asia",15,39,12.42,25,8,0.25,Good,A,,,,,,,,,
6,46.07167,-118.33162,982,A6,A,Broadleaf,Deciduous,Whitebarked Himalayan Birch,Betula,Betula utilis 'Jacquemontii',Betulaceae,,15,18,5.73,25,7,0.25,Good,A,,,,,,,,,
7,46.07172,-118.33169,977,A7,A,Broadleaf,Deciduous,Whitebarked Himalayan Birch,Betula,Betula utilis 'Jacquemontii',Betulaceae,,20,37,11.78,30,14,0.25,Good,A,,,,,,,,,
8,46.07175,-118.33176,979,A8,A,Broadleaf,Deciduous,Catalpa,Catalpa,Catalpa bignonioides,Bignoniaceae,,20,66,21.2,33,16,0.25,Good,A,,,,,,,,,
9,46.0718,-118.33193,979,A9,A,Broadleaf,Deciduous,Catalpa,Catalpa,Catalpa bignonioides,Bignoniaceae,,35,121,38.54,35,21,0.25,Good,A,,,,,,,,next,
10,46.07187,-118.33204,985,A10,A,Broadleaf,Deciduous,Whitebarked Himalayan Birch,Betula,Betula utilis 'Jacquemontii',Betulaceae,,35,78,24.84,65,18,0.25,Fair,A,,,,,,,,next,
11,46.07196,-118.33229,988,A11,A,Broadleaf,Deciduous,Norway Maple,Acer,Acer platanoides,Sapindaceae,"Europe, W. Asia",15,38,12.1,20,10,0.25,Good,A,,Yes, TamaracH 602Main,,,,,,
12,46.072,-118.33237,983,A12,A,Broadleaf,Deciduous,Norway Maple,Acer,Acer platanoides,Sapindaceae,"Europe, W. Asia",15,31,9.87,20,6,0.25,Good,A,,Yes, TamaracH 602Main,,,,,,
13,46.07205,-118.33247,984,A13,A,Broadleaf,Deciduous,Norway Maple,Acer,Acer platanoides,Sapindaceae,"Europe, W. Asia",15,25,7.96,20,6,0.25,Good,A,,Yes, TamaracH 602Main,,,,,,
14,46.07207,-118.33249,981,A14,A,Broadleaf,Deciduous,Silver Maple,Acer,Acer saccharinum,Sapindaceae,,12,128,40.76,65,30,0.5,Poor,A,,Yes, TamaracH 602Main,,,,,,
15,46.07208,-118.33245,982,A15,A,Conifer,Deciduous,Western Larch (Tamarack),Larix,Larix occidentalis,Pinaceae,,12,25,7.96,20,5,0.5,Good,B,,Yes, TamaracH 602Main,,,,,,
16,46.07203,-118.3324,979,A16,A,Conifer,Deciduous,Western Larch (Tamarack),Larix,Larix occidentalis,Pinaceae,,14,27,8.6,25,5,0.5,Good,B,,Yes, TamaracH 602Main,,,,,,
17,46.07212,-118.33218,985,A17,A,Conifer,Deciduous,Western Larch (Tamarack),Larix,Larix occidentalis,Pinaceae,,14,39,12.42,32,6,0.25,Good,B,,Yes, TamaracH 602Main,,,x,x,,
18,46.07221,-118.33235,978,A18,A,Conifer,Deciduous,Western Larch (Tamarack),Larix,Larix occidentalis,Pinaceae,,14,33,10.51,25,6,0.25,Good,B,,Yes, TamaracH 602Main,,,x,x,,
